               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,              0.0278,            0.012253,           0.0059515,             0.93805,             0.90546,             0.94964,             0.69083,            0.030358,            0.004482,           0.0014994,           0.0076679,           0.0076679,           0.0076679
                  36,               0.027,            0.011714,           0.0054989,              0.8894,             0.92125,             0.94853,             0.70911,            0.029379,           0.0042855,             0.00136,            0.007543,            0.007543,            0.007543
                  37,            0.026794,            0.012146,           0.0048216,             0.92213,             0.91829,             0.95065,             0.69439,            0.029816,           0.0043654,           0.0012813,            0.007416,            0.007416,            0.007416
                  38,             0.02714,            0.012047,           0.0041181,             0.92181,             0.92545,             0.95888,             0.70459,            0.027524,           0.0041977,           0.0011456,           0.0072872,           0.0072872,           0.0072872
                  39,             0.02717,            0.011606,           0.0050899,             0.91875,             0.91389,             0.94083,             0.68523,            0.026407,           0.0044609,          0.00093609,           0.0071566,           0.0071566,           0.0071566
                  40,            0.026299,            0.011877,           0.0046625,             0.94216,             0.93127,             0.96656,             0.71488,             0.02659,           0.0041681,           0.0009252,           0.0070243,           0.0070243,           0.0070243
                  41,            0.025437,            0.011386,            0.004587,             0.93862,             0.92085,              0.9614,             0.72851,            0.025466,           0.0040789,           0.0010504,           0.0068906,           0.0068906,           0.0068906
                  42,            0.026215,            0.011878,           0.0048323,             0.91022,             0.90868,             0.95343,             0.68555,            0.027468,           0.0044502,           0.0010303,           0.0067555,           0.0067555,           0.0067555
                  43,            0.027342,              0.0117,           0.0053394,             0.93021,             0.90522,             0.95315,             0.71551,            0.027766,           0.0042749,            0.001596,           0.0066191,           0.0066191,           0.0066191
                  44,             0.02589,            0.011546,           0.0043126,             0.93636,             0.94287,             0.96946,             0.74575,            0.025603,           0.0039642,          0.00099563,           0.0064816,           0.0064816,           0.0064816
                  45,            0.026182,            0.011247,           0.0047121,             0.94012,             0.91599,             0.95429,              0.6902,            0.028387,           0.0043173,          0.00093557,           0.0063432,           0.0063432,           0.0063432
                  46,            0.025321,            0.011371,           0.0047465,             0.89778,             0.85979,             0.93382,             0.64033,            0.028067,           0.0048141,           0.0011767,            0.006204,            0.006204,            0.006204
                  47,            0.025152,            0.011501,           0.0042547,             0.93944,             0.93385,             0.96522,             0.73646,            0.024799,           0.0039267,           0.0011928,            0.006064,            0.006064,            0.006064
                  48,            0.025189,            0.011246,           0.0045487,             0.93076,             0.93622,             0.97116,             0.74532,             0.02444,           0.0038337,           0.0010224,           0.0059235,           0.0059235,           0.0059235
                  49,            0.025172,            0.011195,           0.0040405,             0.94731,             0.91939,             0.96231,              0.7439,            0.025503,           0.0038653,           0.0016036,           0.0057826,           0.0057826,           0.0057826
                  50,            0.024671,            0.011053,           0.0039689,             0.93204,             0.94725,             0.97094,             0.74862,            0.024623,           0.0038851,           0.0013168,           0.0056413,           0.0056413,           0.0056413
                  51,            0.024595,            0.010627,           0.0040873,             0.93939,             0.96272,              0.9723,             0.76509,            0.024625,           0.0036887,          0.00071557,              0.0055,              0.0055,              0.0055
