               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.035451,            0.015509,            0.011319,             0.77951,             0.84008,             0.86517,             0.53416,            0.036341,           0.0056409,           0.0029264,           0.0076679,           0.0076679,           0.0076679
                  36,            0.035024,            0.015277,            0.011694,             0.79525,             0.80568,             0.84989,             0.53614,            0.036485,           0.0058093,           0.0034442,            0.007543,            0.007543,            0.007543
                  37,            0.034312,            0.015476,            0.010192,             0.71888,             0.83427,             0.82835,             0.48941,            0.036136,            0.005805,           0.0040456,            0.007416,            0.007416,            0.007416
                  38,            0.034357,            0.015076,           0.0084416,             0.85249,             0.85411,             0.90385,             0.60303,            0.032595,           0.0051351,           0.0021294,           0.0072872,           0.0072872,           0.0072872
                  39,            0.033898,            0.014551,            0.010231,             0.85403,             0.87358,             0.91384,             0.59124,            0.033295,           0.0053556,           0.0027315,           0.0071566,           0.0071566,           0.0071566
                  40,            0.037014,            0.016349,            0.013301,             0.54763,             0.29143,             0.32331,             0.16134,            0.051604,           0.0087708,            0.021422,           0.0070243,           0.0070243,           0.0070243
                  41,            0.036299,            0.016467,            0.014236,             0.75373,             0.76222,             0.78086,             0.44742,            0.039793,           0.0064713,           0.0055319,           0.0068906,           0.0068906,           0.0068906
                  42,            0.035302,            0.016266,            0.011834,             0.80933,             0.77833,             0.84071,             0.50043,            0.035288,           0.0060843,            0.004003,           0.0067555,           0.0067555,           0.0067555
                  43,            0.034854,            0.015325,            0.011085,             0.76738,             0.86287,             0.86829,             0.54339,            0.034473,           0.0057069,           0.0024094,           0.0066191,           0.0066191,           0.0066191
                  44,            0.033251,            0.014987,           0.0090507,             0.79912,             0.73971,             0.80097,               0.439,            0.038268,           0.0063096,           0.0040343,           0.0064816,           0.0064816,           0.0064816
                  45,            0.032265,            0.014537,            0.009359,             0.80062,             0.82432,             0.85998,             0.52481,            0.035403,            0.005565,           0.0027323,           0.0063432,           0.0063432,           0.0063432
                  46,            0.033012,            0.014589,           0.0096252,             0.80557,             0.86532,             0.88185,             0.55422,            0.033725,           0.0054174,           0.0018665,            0.006204,            0.006204,            0.006204
                  47,            0.032896,            0.014865,            0.009075,             0.86447,             0.89417,             0.92619,             0.62703,            0.032832,           0.0050239,           0.0016022,            0.006064,            0.006064,            0.006064
                  48,            0.031901,            0.014263,            0.008531,             0.84613,             0.90135,              0.9165,             0.61821,            0.032452,           0.0051732,           0.0014333,           0.0059235,           0.0059235,           0.0059235
                  49,            0.032656,            0.014385,           0.0089561,             0.87336,             0.85017,             0.91089,             0.60875,            0.035161,            0.005118,           0.0020818,           0.0057826,           0.0057826,           0.0057826
                  50,            0.032994,             0.01496,           0.0094089,             0.78982,             0.89939,             0.91096,             0.59789,            0.032509,           0.0051506,           0.0019651,           0.0056413,           0.0056413,           0.0056413
                  51,            0.031956,            0.013899,           0.0084335,             0.87514,             0.92926,             0.93581,             0.64134,             0.03134,           0.0049071,           0.0015391,              0.0055,              0.0055,              0.0055
                  52,            0.030871,            0.013736,           0.0077421,             0.85328,              0.9222,             0.92877,              0.6183,            0.031654,           0.0050338,           0.0016693,           0.0053587,           0.0053587,           0.0053587
                  53,            0.030787,            0.013921,           0.0072894,             0.84128,             0.94615,             0.93354,             0.62023,             0.03105,           0.0048058,           0.0013566,           0.0052174,           0.0052174,           0.0052174
                  54,            0.030217,            0.013607,           0.0078315,             0.90368,             0.89833,             0.94033,             0.64473,            0.029166,           0.0048817,           0.0014278,           0.0050765,           0.0050765,           0.0050765
                  55,            0.029044,            0.013382,           0.0079162,             0.91049,             0.86323,             0.93495,             0.65072,            0.030701,           0.0048495,           0.0013303,            0.004936,            0.004936,            0.004936
