               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.031063,            0.013515,            0.009713,             0.89068,             0.89016,             0.92204,             0.65957,            0.032017,           0.0048472,            0.002246,            0.007543,            0.007543,            0.007543
                  37,            0.031421,            0.013851,           0.0088318,             0.86665,             0.89416,             0.91963,             0.63428,            0.034786,           0.0049309,           0.0019593,            0.007416,            0.007416,            0.007416
                  38,            0.031505,            0.013613,           0.0083468,             0.92187,             0.91336,             0.93822,             0.67318,            0.030707,           0.0045292,           0.0017042,           0.0072872,           0.0072872,           0.0072872
                  39,            0.030689,            0.013029,           0.0082137,             0.90661,             0.91951,             0.93438,             0.64676,            0.031385,           0.0048505,           0.0018668,           0.0071566,           0.0071566,           0.0071566
                  40,            0.030587,            0.013266,           0.0079079,             0.93315,             0.92336,             0.94744,             0.70035,            0.029618,           0.0042868,           0.0014744,           0.0070243,           0.0070243,           0.0070243
                  41,            0.029156,            0.013085,           0.0081102,             0.87677,             0.92771,             0.93594,             0.68588,            0.030223,             0.00451,           0.0016463,           0.0068906,           0.0068906,           0.0068906
                  42,            0.029446,            0.013363,            0.008471,             0.90575,             0.91574,             0.93832,             0.67446,            0.030633,           0.0044724,           0.0014725,           0.0067555,           0.0067555,           0.0067555
                  43,            0.029851,            0.012779,           0.0083088,             0.93638,             0.91991,             0.94505,             0.68356,            0.031166,           0.0043081,           0.0014268,           0.0066191,           0.0066191,           0.0066191
                  44,              0.0291,            0.012812,             0.00747,             0.93774,             0.93305,             0.94713,             0.70881,            0.028309,           0.0042103,           0.0011076,           0.0064816,           0.0064816,           0.0064816
                  45,            0.028532,            0.012762,           0.0076567,             0.90183,             0.87145,             0.92414,             0.64159,            0.030913,           0.0049089,           0.0037213,           0.0063432,           0.0063432,           0.0063432
                  46,            0.028799,            0.012692,           0.0080749,              0.9498,             0.91921,             0.95493,             0.69396,            0.029732,           0.0042845,           0.0013256,            0.006204,            0.006204,            0.006204
                  47,            0.028585,            0.012735,           0.0071891,              0.9379,             0.94149,             0.95345,             0.70644,            0.028966,           0.0040085,          0.00080797,            0.006064,            0.006064,            0.006064
                  48,             0.02813,            0.012458,           0.0076309,             0.92879,             0.95122,             0.95642,             0.72412,            0.028312,           0.0039576,           0.0016285,           0.0059235,           0.0059235,           0.0059235
                  49,            0.027962,            0.012445,           0.0069669,             0.94409,             0.94952,             0.95632,             0.71163,            0.028204,           0.0040602,           0.0007174,           0.0057826,           0.0057826,           0.0057826
                  50,            0.027954,            0.012204,           0.0064102,             0.94787,             0.95059,             0.96116,             0.71538,            0.028369,           0.0040779,           0.0013925,           0.0056413,           0.0056413,           0.0056413
                  51,            0.027604,            0.011885,           0.0068902,             0.91615,             0.93333,             0.95231,             0.71694,            0.028932,           0.0040515,           0.0020332,              0.0055,              0.0055,              0.0055
                  52,            0.026885,            0.011893,           0.0060104,             0.93132,             0.94459,             0.95404,             0.73116,            0.027539,           0.0040208,           0.0019162,           0.0053587,           0.0053587,           0.0053587
                  53,            0.026771,            0.011997,           0.0057629,             0.95044,             0.95039,             0.95913,             0.73167,            0.026998,           0.0039259,          0.00077168,           0.0052174,           0.0052174,           0.0052174
                  54,            0.026453,            0.011742,           0.0062456,             0.94207,             0.93881,             0.95498,             0.74282,             0.02708,           0.0038342,          0.00073363,           0.0050765,           0.0050765,           0.0050765
                  55,            0.026113,            0.011544,           0.0058331,             0.95169,             0.93155,             0.95953,             0.74118,            0.026621,            0.003841,           0.0011157,            0.004936,            0.004936,            0.004936
                  56,             0.02571,            0.011729,            0.005702,              0.9526,             0.94328,             0.96619,             0.73762,            0.026268,           0.0037714,          0.00090997,            0.004796,            0.004796,            0.004796
                  57,            0.025638,            0.011295,           0.0055801,             0.96094,             0.93557,             0.96129,             0.74325,            0.025966,           0.0037713,           0.0015763,           0.0046568,           0.0046568,           0.0046568
                  58,            0.024939,            0.011361,           0.0064626,             0.95471,             0.94059,             0.96063,             0.75726,            0.026144,           0.0037406,            0.001049,           0.0045184,           0.0045184,           0.0045184
                  59,            0.024873,            0.011494,           0.0059598,             0.96665,             0.94819,             0.97116,             0.73882,            0.026525,           0.0037804,          0.00066487,           0.0043809,           0.0043809,           0.0043809
                  60,            0.025643,            0.011408,           0.0057304,             0.94831,              0.9488,             0.96433,             0.74808,            0.025309,           0.0037908,          0.00072312,           0.0042445,           0.0042445,           0.0042445
